Date,Name,Amount,,,,
2/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
2/2/2023,TARGET   ,$14.06,TARGET,,,
2/2/2023,TST* SALATA  ,$24.65,TST*,SALATA,,
2/3/2023,LONGHORN RUN  ,$44.10,LONGHORN,RUN,,
2/5/2023,AMC   ,$34.81,AMC,,,
2/6/2023,H-E-B   ,$18.71,H-E-B,,,
2/6/2023,TORCHYS   ,$15.75,TORCHYS,,,
2/8/2023,SQ *SHAKE SMART UNIVER,$8.12,SQ,*SHAKE,SMART,UNIVER
2/9/2023,CAVA   ,$14.99,CAVA,,,
2/10/2023,7-ELEVEN   ,$44.74,7-ELEVEN,,,
2/10/2023,BJJHQ.COM GARNERVILLE NY ,$44.00,BJJHQ.COM,GARNERVILLE,NY,
2/10/2023,FIV*GONG CHA DOBIE ,$7.00,FIV*GONG,CHA,DOBIE,
2/12/2023,PP*DUTCHBROSLL   ,$13.21,PP*DUTCHBROSLL,,,
2/15/2023,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
2/15/2023,AMZN MKTP  ,$15.28,AMZN,MKTP,,
2/15/2023,SNACK* MOGE TEE ,$16.63,SNACK*,MOGE,TEE,
2/15/2023,TST* PINTHOUSE PIZZA ,$9.74,TST*,PINTHOUSE,PIZZA,
2/19/2023,H-E-B   ,$30.22,H-E-B,,,
2/20/2023,GWCTX1252   ,$11.00,GWCTX1252,,,
2/22/2023,SQ *SHAKE SMART UNIVER,$8.12,SQ,*SHAKE,SMART,UNIVER
2/22/2023,FIV*GONG CHA DOBIE ,$6.25,FIV*GONG,CHA,DOBIE,
2/24/2023,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
2/25/2023,CVS/PHARMACY   ,$33.16,CVS/PHARMACY,,,
2/25/2023,MAGGIANOS   ,$23.00,MAGGIANOS,,,
2/25/2023,SQ *PALOMINO  ,$5.95,SQ,*PALOMINO,,
2/25/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
2/26/2023,FEDEX OFFIC00001222069  ,$16.18,FEDEX,OFFIC00001222069,,
2/26/2023,SQ *BENNU COFFEE ,$5.14,SQ,*BENNU,COFFEE,
2/28/2023,H-E-B   ,$46.86,H-E-B,,,
3/1/2023,UT RECSPORTS ECOMMERCE ,$75.00,UT,RECSPORTS,ECOMMERCE,
3/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
3/2/2023,SQ *DIMASSI?S SOUTH ,$17.31,SQ,*DIMASSI?S,SOUTH,
3/2/2023,TARGET   ,$17.64,TARGET,,,
3/3/2023,EINSTEIN BROS  ,$5.20,EINSTEIN,BROS,,
3/3/2023,FIV*GONG CHA DOBIE ,$13.00,FIV*GONG,CHA,DOBIE,
3/6/2023,PP*APPLE.COM/BILL   ,$10.81,PP*APPLE.COM/BILL,,,
3/7/2023,TARGET   ,$7.79,TARGET,,,
3/8/2023,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
3/11/2023,BUC-EE'S   ,$1.09,BUC-EE'S,,,
3/12/2023,THE TEAHOUSE  ,$7.40,THE,TEAHOUSE,,
3/13/2023,PAYPAL *GROUPON INC ,$23.20,PAYPAL,*GROUPON,INC,
3/13/2023,TACO BELL  ,$32.00,TACO,BELL,,
3/15/2023,SQ *ALPHA DESSERT JUIC,$10.03,SQ,*ALPHA,DESSERT,JUIC
3/15/2023,COSMO FOODS LLC ,$10.83,COSMO,FOODS,LLC,
3/15/2023,SHARETEA   ,$12.99,SHARETEA,,,
3/15/2023,SHELL57543427603   ,$24.70,SHELL57543427603,,,
3/18/2023,TIGER DEN  ,$69.00,TIGER,DEN,,
