Date,Name,Amount
4/5/2023,UT H&F FOOD SERVICE,$4.93
4/6/2023,PAYPAL *PATREON MEMBER ,$6.50
4/11/2023,7-ELEVEN   ,$10.37
4/13/2023,PAYPAL *NO GI BJJ,$43.96
4/16/2023,WASH KIOSK  ,$10.00
4/21/2023,BUC-EE'S   ,$1.18
4/25/2023,PAPPASITO'S CANTI Q80 ,$12.98
4/26/2023,LYFT   ,$2.00
4/26/2023,LYFT   ,$21.99
5/2/2023,MMS-REGIONAL ONE HEALTH ,$2.14
5/2/2023,PP*APPLE.COM/BILL   ,$10.81
5/2/2023,SPOTIFY   ,$17.31
5/3/2023,SP ADDIE LOU BLU,$107.54
5/3/2023,LYFT   ,$14.68
5/3/2023,LYFT   ,$22.70
5/3/2023,MMS-METHODIST   ,$2.01
5/4/2023,LYFT   ,$2.00
5/4/2023,LYFT   ,$22.77
5/8/2023,LYFT   ,$2.00
5/8/2023,LYFT   ,$9.76
5/8/2023,LYFT   ,$10.99
5/9/2023,LYFT   ,$19.79
5/9/2023,UT RECEIVABLES-WEB  ,$10.00
5/10/2023,LYFT   ,$23.90
5/10/2023,LYFT   ,$2.00
5/10/2023,LYFT   ,$11.90
5/10/2023,MMS-METHODIST   ,$7.55
5/11/2023,LYFT   ,$28.80
5/11/2023,MMS-METHODIST   ,$6.32
5/12/2023,LYFT   ,$4.76
5/12/2023,LYFT   ,$31.75
5/12/2023,LYFT   ,$3.00
5/12/2023,LYFT   ,$37.99
5/16/2023,CURB LV TAXI NEW,$20.58
5/20/2023,PAYPAL *TEMU  ,$10.99
5/22/2023,SHELL91002195626   ,$42.20
5/24/2023,FIV*GONG CHA  ,$6.50
5/24/2023,TACO BELL  ,$8.65
5/25/2023,KROGER   ,$52.36
5/25/2023,RANCH   ,$3.49
5/29/2023,FIV*GONG CHA  ,$6.50
5/29/2023,SHELL57546308909 SUGAR  ,$43.34
5/30/2023,HALALBROSCORPORATION   ,$12.98
5/31/2023,BUC-EE'S   ,$27.65
5/31/2023,BUC-EE'S   ,$3.33
6/2/2023,SPOTIFY   ,$17.31
6/4/2023,TARGET   ,$3.29
6/4/2023,TST* RAMEN TATSU-YA ,$15.16
6/9/2023,TST* BANGERS SAUSAGE H,$44.24
6/10/2023,"INTERFOLIO, INC.  ",$59.99
6/10/2023,UT SYSTEM TMDSAS ,$215.00
6/11/2023,TST* SOUPLEAF HOT POT,$25.97
6/11/2023,H-E-B   ,$8.22
6/14/2023,UT H&F FOOD SERVICE,$5.95
6/15/2023,LIM*RIDE COST  ,$4.63
6/16/2023,BUC-EE'S   ,$0.75
6/16/2023,ME-STAFFORD-ECOMM   ,$100.67
6/17/2023,SQ *PEPPER LUNCH ,$10.27
6/17/2023,TACO BELL  ,$6.48
6/18/2023,BUC-EE'S   ,$1.18
6/20/2023,CHIPOTLE   ,$12.88
6/20/2023,H-E-B   ,$28.79
6/27/2023,AMZN MKTP  ,$16.06
6/28/2023,UT H&F FOOD SERVICE,$5.95
6/29/2023,STAR CINEMA GRILL ,$14.00
6/29/2023,STAR CINEMA GRILL ,$42.00
7/1/2023,FIT CON  ,$10.83
7/2/2023,NU CAFE  ,$5.95
7/2/2023,SPOTIFY   ,$17.31
7/4/2023,VISHALA GROCERY IV ,$7.98
7/4/2023,SHELL57543427603   ,$24.01
7/5/2023,WASH KIOSK  ,$10.00
7/11/2023,H-E-B   ,$46.12
7/12/2023,DRUM CORPS INTERNATION ,$378.65
7/14/2023,AMZN MKTP  ,$58.83
7/14/2023,SHELL57543433205 SUGAR  ,$45.13
7/15/2023,TACO BELL  ,$9.29
7/16/2023,NASEEB INDIAN  ,$16.01
7/16/2023,RA SUSHI  ,$163.37
7/17/2023,SHELL OIL  ,$34.90
7/18/2023,H-E-B   ,$14.93
7/20/2023,TUTTI FRUTTI  ,$7.04
7/22/2023,HALAL BROS* HALAL BROS,$13.52
7/22/2023,IM* REVOLUTION VEGAN K,$15.68
7/22/2023,AUSTIN BOULDERING PROJ ,$19.49
7/22/2023,BUC-EE'S   ,$1.18
7/22/2023,CHICHA   ,$7.31
7/23/2023,ROSITAS AL PASTOR ,$10.80
7/27/2023,HALAL BROS* HALAL BROS,$13.52
7/28/2023,TAMHSC MED  ,$60.00
7/29/2023,GREYHOUND   ,$23.98
7/29/2023,H-E-B   ,$11.75
7/30/2023,WASH KIOSK  ,$10.00
8/1/2023,CPP*FIT CONNECT  ,$10.83
8/2/2023,BPS*BILT REWARDS  ,$2.49
8/2/2023,BPS*BILT REWARDS  ,"$1,053.89"
8/2/2023,SPOTIFY   ,$17.31
8/4/2023,SHELL OIL  ,$4.25
8/5/2023,FIV*GONG CHA HOUSTON ,$6.22
8/7/2023,BUC-EE'S   ,$2.15
8/9/2023,BPS*BILT REWARDS  ,$2.49
8/9/2023,BPS*BILT REWARDS  ,$762.90
8/10/2023,CICIS PIZZA  ,$9.73
8/10/2023,"GROUPON, INC.  ",$29.60
8/10/2023,SHELL OIL  ,$19.10
